2024-09-23 22:37:07,536:INFO:Timestamp: 2024-09-23 22:37:07, CPU Usage: 26.9%, RAM Usage: 87.9%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:37:08,556:INFO:Timestamp: 2024-09-23 22:37:08, CPU Usage: 31.9%, RAM Usage: 87.5%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:37:09,615:INFO:Timestamp: 2024-09-23 22:37:09, CPU Usage: 31.9%, RAM Usage: 87.2%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:37:10,628:INFO:Timestamp: 2024-09-23 22:37:10, CPU Usage: 20.5%, RAM Usage: 86.7%, Disk Usage: 36.5%, CPU Temperature: 62.0 °C, Fan Speed: None RPM
2024-09-23 22:37:11,684:INFO:Timestamp: 2024-09-23 22:37:11, CPU Usage: 11.5%, RAM Usage: 87.0%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:37:12,754:INFO:Timestamp: 2024-09-23 22:37:12, CPU Usage: 24.5%, RAM Usage: 87.4%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:37:13,812:INFO:Timestamp: 2024-09-23 22:37:13, CPU Usage: 22.4%, RAM Usage: 87.4%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:37:14,878:INFO:Timestamp: 2024-09-23 22:37:14, CPU Usage: 44.3%, RAM Usage: 88.5%, Disk Usage: 36.5%, CPU Temperature: 66.0 °C, Fan Speed: None RPM
2024-09-23 22:37:15,933:INFO:Timestamp: 2024-09-23 22:37:15, CPU Usage: 51.0%, RAM Usage: 88.1%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:37:16,987:INFO:Timestamp: 2024-09-23 22:37:16, CPU Usage: 26.3%, RAM Usage: 88.2%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:37:18,045:INFO:Timestamp: 2024-09-23 22:37:18, CPU Usage: 22.0%, RAM Usage: 87.6%, Disk Usage: 36.5%, CPU Temperature: 63.0 °C, Fan Speed: None RPM
2024-09-23 22:37:19,101:INFO:Timestamp: 2024-09-23 22:37:19, CPU Usage: 44.6%, RAM Usage: 88.2%, Disk Usage: 36.5%, CPU Temperature: 66.0 °C, Fan Speed: None RPM
2024-09-23 22:37:20,121:INFO:Timestamp: 2024-09-23 22:37:20, CPU Usage: 58.3%, RAM Usage: 87.9%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:37:21,153:INFO:Timestamp: 2024-09-23 22:37:21, CPU Usage: 54.6%, RAM Usage: 89.0%, Disk Usage: 36.5%, CPU Temperature: 66.0 °C, Fan Speed: None RPM
2024-09-23 22:37:22,185:INFO:Timestamp: 2024-09-23 22:37:22, CPU Usage: 89.0%, RAM Usage: 92.0%, Disk Usage: 36.5%, CPU Temperature: 66.0 °C, Fan Speed: None RPM
2024-09-23 22:37:28,055:INFO:Timestamp: 2024-09-23 22:37:28, CPU Usage: 12.7%, RAM Usage: 91.8%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:37:32,006:INFO:Timestamp: 2024-09-23 22:37:32, CPU Usage: 15.3%, RAM Usage: 89.2%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:37:33,022:INFO:Timestamp: 2024-09-23 22:37:33, CPU Usage: 23.4%, RAM Usage: 89.4%, Disk Usage: 36.5%, CPU Temperature: 65.0 °C, Fan Speed: None RPM
2024-09-23 22:37:34,038:INFO:Timestamp: 2024-09-23 22:37:34, CPU Usage: 30.7%, RAM Usage: 89.7%, Disk Usage: 36.5%, CPU Temperature: 64.0 °C, Fan Speed: None RPM
2024-09-23 22:37:35,053:INFO:Timestamp: 2024-09-23 22:37:35, CPU Usage: 56.9%, RAM Usage: 91.5%, Disk Usage: 36.5%, CPU Temperature: 67.0 °C, Fan Speed: None RPM
